"Passanant i Belltall","CatSíqueesPot",8
"Passanant i Belltall","unio.cat",4
"Passanant i Belltall","PSC",3
"Passanant i Belltall","PP",2
"Passanant i Belltall","C's",2
"Passanant i Belltall","RECORTES CERO-ELS VERDS",1
"Passanant i Belltall","GANEMOS",0
"Passanant i Belltall","PACMA",0
"Solsona","Total de votantes",4841
"Solsona","Abstención",1378
"Solsona","Votos nulos",28
"Solsona","Votos en blanco",44
"Solsona","Votos a candidaturas",4769
"Solsona","JxSí",3124
"Solsona","CUP",451
"Solsona","C's",355
"Solsona","PSC",293
"Solsona","PP",211
"Solsona","CatSíqueesPot",163
"Solsona","unio.cat",144
"Solsona","PACMA",17
"Solsona","GANEMOS",6
"Solsona","RECORTES CERO-ELS VERDS",5
"Òdena","Total de votantes",2087
"Òdena","Abstención",589
"Òdena","Votos nulos",3
"Òdena","Votos en blanco",21
"Òdena","Votos a candidaturas",2063
"Òdena","JxSí",909
"Òdena","PSC",335
"Òdena","C's",295
"Òdena","PP",160
"Òdena","CUP",142
"Òdena","CatSíqueesPot",127
"Òdena","unio.cat",67
"Òdena","PACMA",14
"Òdena","RECORTES CERO-ELS VERDS",14
"Ametlla de Mar, l'","Total de votantes",3391
"Ametlla de Mar, l'","Abstención",1031
"Ametlla de Mar, l'","Votos nulos",21
"Ametlla de Mar, l'","Votos en blanco",11
"Ametlla de Mar, l'","Votos a candidaturas",3359
"Ametlla de Mar, l'","JxSí",1981
"Ametlla de Mar, l'","C's",405
"Ametlla de Mar, l'","PSC",243
"Ametlla de Mar, l'","PP",224
"Ametlla de Mar, l'","CUP",208
"Ametlla de Mar, l'","CatSíqueesPot",179
"Ametlla de Mar, l'","unio.cat",94
"Ametlla de Mar, l'","PACMA",12
"Ametlla de Mar, l'","GANEMOS",8
"Ametlla de Mar, l'","RECORTES CERO-ELS VERDS",5
"Palma de Cervelló, la","Total de votantes",1957
"Palma de Cervelló, la","Abstención",350
"Palma de Cervelló, la","Votos nulos",8
"Palma de Cervelló, la","Votos en blanco",15
"Palma de Cervelló, la","Votos a candidaturas",1934
"Palma de Cervelló, la","JxSí",971
"Palma de Cervelló, la","C's",263
"Palma de Cervelló, la","CUP",241
"Palma de Cervelló, la","PSC",184
"Palma de Cervelló, la","CatSíqueesPot",111
"Palma de Cervelló, la","PP",85
"Palma de Cervelló, la","unio.cat",58
"Palma de Cervelló, la","PACMA",18
"Palma de Cervelló, la","RECORTES CERO-ELS VERDS",3
"Senan","Total de votantes",32
"Senan","Abstención",6
"Senan","Votos nulos",0
"Senan","Votos en blanco",1
"Senan","Votos a candidaturas",31
"Senan","JxSí",21
"Senan","CUP",7
"Senan","PP",1
"Senan","CatSíqueesPot",1
"Senan","PSC",1
"Senan","C's",0
"Senan","GANEMOS",0
"Senan","PACMA",0
"Senan","RECORTES CERO-ELS VERDS",0
"Senan","unio.cat",0
"Sant Fost de Campsentelles","Total de votantes",5233
"Sant Fost de Campsentelles","Abstención",1553
"Sant Fost de Campsentelles","Votos nulos",16
"Sant Fost de Campsentelles","Votos en blanco",29
"Sant Fost de Campsentelles","Votos a candidaturas",5188
"Sant Fost de Campsentelles","JxSí",1896
"Sant Fost de Campsentelles","C's",1075
